ISO,index,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
nyn,1942,Africa,-0.5,30.5,0,UGA,2300000.0,42862958.0,Point(32.39 1.28),1
cla,1943,Africa,9.0,8.75,0,NGA,176000.0,190886311.0,Point(8.0 9.0),1
rro,1944,Papunesia,-8.75,146.583333333,0,PNG,,8935000.0,Point(147.0 -6.3),1
rtm,1945,Papunesia,-12.5,177.066666667,0,FJI,9000.0,905502.0,Point(178.0 -18.0),1
rug,1946,Papunesia,-8.25,157.333333333,0,SLB,,611343.0,Point(159.816666666 -9.466666666),1
nyo,1947,Africa,1.5,31.3333333333,0,UGA,,42862958.0,Point(32.39 1.28),1
sgh,1948,Eurasia,38.1666666667,71.5,0,"['TJK', 'AFG']",60000.0,"[8921343.0, 36643815.0]","['Point(71.366667 38.583333)', 'Point(66.0 34.0)']",2
twu,1949,Papunesia,-10.6666666667,123.25,0,IDN,,270625568.0,Point(118.0 -2.0),1
roo,1950,Papunesia,-6.0,155.166666667,0,PNG,4320.0,8935000.0,Point(147.0 -6.3),1
dru,1951,Papunesia,22.8333333333,120.833333333,0,TWN,,23593794.0,Point(121.0 24.0),1
klq,1952,Papunesia,-7.16666666667,144.25,0,PNG,,8935000.0,Point(147.0 -6.3),1
rou,1953,Africa,10.3333333333,21.0,0,"['TCD', 'CAF']",,"[15477751.0, 4659080.0]","['Point(19.4 15.466667)', 'Point(20.9 6.7)']",2
rus,1954,Eurasia,56.0,38.0,0,RUS,171428900.0,146804372.0,Point(94.25 66.416666666),1
rut,1955,Eurasia,41.5,47.4166666667,0,"['RUS', 'AZE']",47400.0,"[146804372.0, 10127874.0]","['Point(94.25 66.416666666)', 'Point(47.7 40.3)']",2
rwo,1956,Papunesia,-5.83333333333,146.0,0,PNG,,8935000.0,Point(147.0 -6.3),1
rmw,1957,Eurasia,52.0,-4.0,0,GBR,,66022273.0,Point(-2.0 54.6),1
ryu,1958,Eurasia,26.5,127.5,0,JPN,984000.0,126434565.0,Point(136.0 35.0),1
apb,1959,Papunesia,-9.61666666667,161.45,0,SLB,,611343.0,Point(159.816666666 -9.466666666),1
snv,1960,Papunesia,3.66666666667,115.666666667,0,"['IDN', 'MYS']",,"[270625568.0, 31624264.0]","['Point(118.0 -2.0)', 'Point(108.0 3.0)']",2
skb,1961,Eurasia,17.4166666667,104.75,0,"['LAO', 'THA']",,"[6858160.0, 65931550.0]","['Point(104.0 18.2)', 'Point(101.0 14.0)']",2
saj,1962,Papunesia,1.16666666667,127.5,0,IDN,3500.0,270625568.0,Point(118.0 -2.0),1
sku,1963,Papunesia,-15.1666666667,167.083333333,0,VUT,,276244.0,Point(168.016669444 -16.633330555),1
sln,1964,North America,36.0,-121.0,0,USA,,331449281.0,Point(-98.5795 39.828175),1
smo,1965,Papunesia,-13.9166666667,-171.833333333,0,"['AUS', 'NZL', 'WSM', 'ASM']",415720.0,"[24511800.0, 5112300.0, 196440.0, 55689.0]","['Point(137.0 -28.0)', 'Point(174.0 -41.2)', 'Point(-172.0 -14.0)', 'Point(-170.7075 -14.295833)']",4
sag,1966,Africa,5.0,18.0,0,"['TCD', 'CAF', 'COD']",4600000.0,"[15477751.0, 4659080.0, 86790567.0]","['Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(23.656 -2.88)']",3
ssy,1967,Africa,14.75,39.75,0,"['ETH', 'ERI']",271180.0,"[104957438.0, 3497000.0]","['Point(40.0 9.0)', 'Point(38.25 15.483333)']",2
spu,1968,Eurasia,15.1666666667,106.833333333,0,LAO,,6858160.0,Point(104.0 18.2),1
dju,1969,Papunesia,-4.5,143.166666667,0,PNG,,8935000.0,Point(147.0 -6.3),1
sdg,1970,Eurasia,35.0,71.5,0,AFG,,36643815.0,Point(66.0 34.0),1
hvn,1971,Papunesia,-11.5,121.916666667,0,IDN,110000.0,270625568.0,Point(118.0 -2.0),1
pos,1972,North America,17.8333333333,-95.0,0,MEX,,124777324.0,Point(-102.0 23.0),1
slc,1973,South America,6.0,-70.0,0,COL,,49065615.0,Point(-74.0 4.0),1
sse,1974,Papunesia,6.16666666667,121.833333333,0,PHL,,100981437.0,Point(123.0 12.0),1
sma,1975,Eurasia,64.6666666667,16.75,0,"['NOR', 'SWE']",600.0,"[5391369.0, 10379295.0]","['Point(11.0 65.0)', 'Point(15.0 61.0)']",2
snd,1976,Eurasia,26.0,69.0,0,"['IND', 'PAK']",25000000.0,"[1326093247.0, 216565318.0]","['Point(83.0 22.8)', 'Point(71.0 30.0)']",2
sad,1977,Africa,-5.0,35.0,0,TZA,40000.0,57310019.0,Point(34.854 -6.307),1
tvk,1978,Papunesia,-16.3,168.216666667,0,VUT,,276244.0,Point(168.016669444 -16.633330555),1
kpz,1979,Africa,1.33333333333,34.5833333333,0,UGA,,42862958.0,Point(32.39 1.28),1
sey,1980,South America,-0.333333333333,-76.0,0,"['PER', 'ECU']",,"[29381884.0, 16624858.0]","['Point(-76.0 -9.4)', 'Point(-78.0 -1.0)']",2
sed,1981,Eurasia,14.8333333333,108.0,0,VNM,,94660000.0,Point(108.0 16.0),1
trv,1982,Papunesia,24.1666666667,121.416666667,0,TWN,20000.0,23593794.0,Point(121.0 24.0),1
ona,1983,South America,-53.0,-70.0,1,ARG,,44938712.0,Point(-64.0 -34.0),1
nsm,1984,Eurasia,26.0,94.5,0,IND,,1326093247.0,Point(83.0 22.8),1
seh,1985,Africa,-18.0,35.25,0,MOZ,,29668834.0,Point(35.0 -19.0),1
sei,1986,North America,29.0,-112.0,0,MEX,900.0,124777324.0,Point(-102.0 23.0),1
sot,1987,Africa,-28.0,27.0,0,"['ZAF', 'LSO']",6000000.0,"[59622350.0, 2233339.0]","['Point(24.0 -29.0)', 'Point(28.25 -29.55)']",2
crs,1988,Eurasia,-4.75,55.5,0,SYC,73000.0,95843.0,Point(52.766667 -7.1),1
mnx,1989,Papunesia,-1.5,134.0,0,IDN,,270625568.0,Point(118.0 -2.0),1
sop,1990,Africa,-6.83333333333,22.0,0,COD,,86790567.0,Point(23.656 -2.88),1
szg,1991,Africa,-1.83333333333,17.3333333333,0,COD,,86790567.0,Point(23.656 -2.88),1
sxn,1992,Papunesia,3.5,125.5,0,IDN,,270625568.0,Point(118.0 -2.0),1
snq,1993,Africa,-1.5,11.8333333333,0,GAB,,2025137.0,Point(11.5 -0.683330555),1
shn,1994,Eurasia,22.0,98.0,0,"['MMR', 'THA']",3000000.0,"[53370609.0, 65931550.0]","['Point(96.0 22.0)', 'Point(101.0 14.0)']",2
sbf,1995,Africa,7.58333333333,35.4166666667,0,ETH,,104957438.0,Point(40.0 9.0),1
sdp,1996,Eurasia,27.0,92.5,0,IND,9663.0,1326093247.0,Point(83.0 22.8),1
xsr,1997,Eurasia,27.75,86.8333333333,0,"['CHN', 'IND', 'NPL']",150000.0,"[1409517397.0, 1443497378.0, 1326093247.0, 30327877.0]","['Point(103.451944444 35.844722222)', 'Point(83.0 22.8)', 'Point(84.0 28.0)']",3
mcd,1998,South America,-11.0,-70.0,0,PER,,29381884.0,Point(-76.0 -9.4),1
shb,1999,South America,3.5,-62.8333333333,0,"['BRA', 'VEN']",,"[210147125.0, 28515829.0]","['Point(-53.0 -14.0)', 'Point(-67.0 8.0)']",2
