,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
1070,kik,kik,Kikuyu,Africa,KE,-0.75,36.75,Niger-Congo,Bantoid,0,L
1071,kil,lub,Kiluba,Africa,CD,-8.0,26.0,Niger-Congo,Bantoid,0,L
1072,kim,kig,Kimaghama,Papunesia,ID,-8.0,138.5,Kolopom,Kolopom,0,L
1073,kin,kin,Kinyarwanda,Africa,RW,-2.0,30.0,Niger-Congo,Bantoid,0,L
1074,kio,kio,Kiowa,North America,US,37.0,-99.0,Kiowa-Tanoan,Kiowa-Tanoan,0,L
1075,kiq,xal,Kalmyk (Issyk-Kul),Eurasia,KG,42.4166666667,78.3333333333,Altaic,Mongolic,0,L
1076,kir,cme,Kirma,Africa,BF,10.25,-4.83333333333,Niger-Congo,Southern-Central Gur,0,L
1077,kis,kqs kss,Kisi,Africa,SL GN LR,8.83333333333,-10.1666666667,Niger-Congo,Mel,0,
1078,kit,kii,Kitsai,North America,US,31.8333333333,-96.5,Caddoan,Caddoan,0,L
1079,kiu,kvd,Kui (in Indonesia),Papunesia,ID,-8.43333333333,124.55,Timor-Alor-Pantar,Greater Alor,0,L
1080,kiw,kjd,Kiwai (Southern),Papunesia,PG,-8.0,143.5,Kiwaian,Kiwaian,0,L
1081,kje,coe,Koreguaje,South America,CO,1.0,-75.5,Tucanoan,Tucanoan,0,L
1082,kji,kmr,Kurmanji,Eurasia,TR,38.0,42.0,Indo-European,Iranian,0,L
1083,kjn,kjn,Kunjen,Australia,AU,-16.5,142.5,Pama-Nyungan,Northern Pama-Nyungan,0,L
1084,kjo,kjc,Konjo,Papunesia,ID,-5.46666666667,120.333333333,Austronesian,South Sulawesi,0,L
1085,kjr,kqy,Koorete,Africa,ET,5.83333333333,37.8333333333,Afro-Asiatic,North Omotic,0,L
1086,kkb,xon,Konkomba,Africa,TG GH,10.0,0.0833333333333,Niger-Congo,Northern-Central Gur,0,L
1087,kkl,bqy,Kata Kolok,Papunesia,ID,-8.25,115.166666667,other,Sign Languages,0,L
1088,kkn,knn,Konkani,Eurasia,IN,15.25,74.0,Indo-European,Indic,0,L
1089,kko,knk,Koranko,Africa,SL GN,9.33333333333,-11.25,Mande,Western Mande,0,L
1090,kkp,kaa,Karakalpak,Eurasia,UZ,43.0,60.0,Altaic,Turkic,0,L
1091,kkq,kui,Kuikúro,South America,BR,-12.4166666667,-53.0833333333,Cariban,Cariban,0,L
1092,kkr,kiy,Kirikiri,Papunesia,ID,-3.0,137.166666667,Lakes Plain,Lakes Plain,0,L
1093,kkt,kkk,Kokota,Papunesia,SB,-8.0,159.133333333,Austronesian,Oceanic,0,L
1094,kku,kfq,Korku,Eurasia,IN,22.5,78.5,Austro-Asiatic,Munda,0,L
1095,kkv,khl,Lusi,Papunesia,PG,-5.58333333333,149.666666667,Austronesian,Oceanic,0,L
1096,kkw,zkk,Karankawa,North America,US,28.0,-97.0,,,0,
1097,kky,kne,Kankanay,Papunesia,PH,16.75,120.583333333,Austronesian,Northern Luzon,0,L
1098,kkz,kex,Kokni,Eurasia,IN,20.75,73.5,Indo-European,Indic,0,L
1099,kla,klu,Klao,Africa,LR,4.75,-8.75,Niger-Congo,Kru,0,L
1100,klb,hbb,Kilba,Africa,NG,10.3333333333,13.1666666667,Afro-Asiatic,Biu-Mandara,0,L
1101,klg,kle,Kulung,Eurasia,NP,27.5,87.0,Sino-Tibetan,Mahakiranti,0,L
1102,klh,kls,Kalasha,Eurasia,PK,35.0,72.0,Indo-European,Indic,0,L
1103,kli,lew,Kaili,Papunesia,ID,-1.16666666667,120.0,Austronesian,Celebic,0,L
1104,klk,xuo,Koh (Lakka),Africa,TD CM,8.0,15.5,Niger-Congo,Mbumic,0,L
1105,kll,bco,Kaluli,Papunesia,PG,-6.5,142.75,Bosavi,Bosavi,0,L
1106,klm,kla,Klamath,North America,US,42.5,-121.5,Penutian,Klamath-Modoc,0,L
1107,kln,kvw,Kolana,Papunesia,ID,-8.25,125.116666667,Timor-Alor-Pantar,Kolana-Tanglapui,0,L
1108,klp,kyl,Kalapuya,North America,US,44.5,-123.0,Kalapuyan,Kalapuyan,0,X
1109,klq,kmh,Kalam,Papunesia,PG,-5.25,144.583333333,Trans-New Guinea,Madang,0,L
1110,klr,shm,Koluri,Eurasia,IR,37.0,48.0,Indo-European,Iranian,0,L
1111,kls,fla,Kalispel,North America,US,48.0,-117.0,Salishan,Interior Salish,0,L
1112,klt,kzi,Kelabit,Papunesia,MY,3.66666666667,115.416666667,Austronesian,North Borneo,0,L
1113,klv,kij,Kilivila,Papunesia,PG,-8.5,151.083333333,Austronesian,Oceanic,0,L
1114,klw,klb,Kiliwa,North America,MX,31.3333333333,-115.666666667,Hokan,Yuman,0,L
1115,kly,mwp,Kala Lagaw Ya,Papunesia,AU,-10.1166666667,142.116666667,Pama-Nyungan,Northern Pama-Nyungan,0,L
1116,klz,kck,Kalanga,Africa,BW ZW,-20.5,27.5,Niger-Congo,Bantoid,0,L
1117,kma,kay,Kamaiurá,South America,BR,-12.0833333333,-52.5833333333,Tupian,Tupi-Guaraní,0,L
1118,kmb,tyn wng,Kombai,Papunesia,ID,-5.58333333333,140.0,Trans-New Guinea,Awju-Dumut,0,
