language,languageLabel,statusLabel,native,ISO,countryLabel,walsCode,IDH,coordinates,Population
http://www.wikidata.org/entity/Q5885,Tamil,2 Provincial,67832790,tam,Kenya,tsp,0.548,Point(38.0 0.1),48468138
http://www.wikidata.org/entity/Q5885,Tamil,2 Provincial,67832790,tam,Kenya,tml,0.548,Point(38.0 0.1),48468138
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,202225450,por,Brazil,por,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,254300000,por,Brazil,por,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q5287,Japanese,1 National,130000000,jpn,Brazil,jpn,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q5885,Tamil,2 Provincial,67832790,tam,South Africa,tsp,0.699,Point(24.0 -29.0),59622350
http://www.wikidata.org/entity/Q5885,Tamil,2 Provincial,67832790,tam,South Africa,tml,0.699,Point(24.0 -29.0),59622350
http://www.wikidata.org/entity/Q5885,Tamil,2 Provincial,67832790,tam,Singapore,tsp,0.932,Point(103.8 1.3),5888926
http://www.wikidata.org/entity/Q5885,Tamil,2 Provincial,67832790,tam,Singapore,tml,0.932,Point(103.8 1.3),5888926
http://www.wikidata.org/entity/Q5287,Japanese,1 National,130000000,jpn,Australia,jpn,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q5287,Japanese,1 National,130000000,jpn,Peru,jpn,0.75,Point(-76.0 -9.4),29381884
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,202225450,por,East Timor,por,0.625,Point(125.75 -8.966667),1296311
